 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 1125.1  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.2  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.3  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.4  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.5  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.6  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.7  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.8  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1125.9  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.0  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.1  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.2  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.3  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.4  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.5  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.6  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.7  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.8  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1126.9  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1127.0  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1127.1  1.11111111  0.96658005  0.01224017  0.96665755 -0.25623965
 1127.2  1.11111111  0.96660418  0.01030242  0.96665909 -0.25623384
 1127.3  1.11111111  0.96662723  0.00838582  0.96666360 -0.25621649
 1127.4  1.11111111  0.96664869  0.00655790  0.96667093 -0.25618825
 1127.5  1.11111111  0.96666872  0.00485777  0.96668092 -0.25614995
 1127.6  1.11111111  0.96668760  0.00331981  0.96669330 -0.25610265
 1127.7  1.11111111  0.96670570  0.00197293  0.96670771 -0.25604761
 1127.8  1.11111111  0.96672342  0.00084004  0.96672379 -0.25598619
 1127.9  1.11111111  0.96674117 -0.00006184  0.96674118 -0.25591982
 1128.0  1.11111111  0.96675920 -0.00072136  0.96675947 -0.25585000
 1128.1  1.11111111  0.96677758 -0.00113272  0.96677824 -0.25577828
 1128.2  1.11111111  0.96679625 -0.00129527  0.96679712 -0.25570616
 1128.3  1.11111111  0.96681496 -0.00121300  0.96681572 -0.25563512
 1128.4  1.11111111  0.96683329 -0.00089417  0.96683370 -0.25556658
 1128.5  1.11111111  0.96685062 -0.00035109  0.96685068 -0.25550187
 1128.6  1.11111111  0.96686627  0.00040021  0.96686636 -0.25544221
 1128.7  1.11111111  0.96687950  0.00134040  0.96688043 -0.25538871
 1128.8  1.11111111  0.96688953  0.00244718  0.96689263 -0.25534232
 1128.9  1.11111111  0.96689565  0.00369566  0.96690271 -0.25530385
 1129.0  1.11111111  0.96689728  0.00505876  0.96691051 -0.25527393
 1129.1  1.11111111  0.96689399  0.00650788  0.96691589 -0.25525302
 1129.2  1.11111111  0.96688559  0.00801337  0.96691879 -0.25524140
 1129.3  1.11111111  0.96687208  0.00954458  0.96691919 -0.25523915
 1129.4  1.11111111  0.96685374  0.01107064  0.96691712 -0.25524619
 1129.5  1.11111111  0.96683110  0.01256100  0.96691269 -0.25526222
 1129.6  1.11111111  0.96680488  0.01398589  0.96690604 -0.25528678
 1129.7  1.11111111  0.96677602  0.01531687  0.96689735 -0.25531926
 1129.8  1.11111111  0.96674557  0.01652726  0.96688683 -0.25535885
 1129.9  1.11111111  0.96671466  0.01759282  0.96687473 -0.25540462
 1130.0  1.11111111  0.96668447  0.01849231  0.96686133 -0.25545552
 1130.1  1.11111111  0.96665609  0.01920805  0.96684691 -0.25551040
