 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 1410.1  1.00000000  0.96599112  0.01499248  0.96610745 -0.25815998
 1410.2  1.00000000  0.96599112  0.01499244  0.96610746 -0.25815997
 1410.3  1.00000000  0.96602421  0.01281351  0.96610918 -0.25815346
 1410.4  1.00000000  0.96605649  0.01058437  0.96611447 -0.25813359
 1410.5  1.00000000  0.96608646  0.00841483  0.96612311 -0.25810079
 1410.6  1.00000000  0.96611424  0.00633342  0.96613500 -0.25805569
 1410.7  1.00000000  0.96614006  0.00436701  0.96614993 -0.25799909
 1410.8  1.00000000  0.96616435  0.00254059  0.96616769 -0.25793193
 1410.9  1.00000000  0.96618753  0.00087686  0.96618793 -0.25785531
 1411.0  1.00000000  0.96621016 -0.00060419  0.96621035 -0.25777045
 1411.1  1.00000000  0.96623281 -0.00188536  0.96623465 -0.25767856
 1411.2  1.00000000  0.96625597 -0.00295233  0.96626048 -0.25758101
 1411.3  1.00000000  0.96628002 -0.00379388  0.96628747 -0.25747920
 1411.4  1.00000000  0.96630520 -0.00440201  0.96631523 -0.25737457
 1411.5  1.00000000  0.96633160 -0.00477204  0.96634338 -0.25726855
 1411.6  1.00000000  0.96635913 -0.00490255  0.96637157 -0.25716259
 1411.7  1.00000000  0.96638752 -0.00479532  0.96639941 -0.25705810
 1411.8  1.00000000  0.96641628 -0.00445526  0.96642655 -0.25695647
 1411.9  1.00000000  0.96644478 -0.00389040  0.96645261 -0.25685903
 1412.0  1.00000000  0.96647227 -0.00311167  0.96647728 -0.25676702
 1412.1  1.00000000  0.96649789 -0.00213273  0.96650025 -0.25668160
 1412.2  1.00000000  0.96652074 -0.00096970  0.96652123 -0.25660383
 1412.3  1.00000000  0.96653990  0.00035906  0.96653997 -0.25653466
 1412.4  1.00000000  0.96655450  0.00183319  0.96655623 -0.25647492
 1412.5  1.00000000  0.96656375  0.00343067  0.96656984 -0.25642529
 1412.6  1.00000000  0.96656704  0.00512807  0.96658065 -0.25638630
 1412.7  1.00000000  0.96656390  0.00690098  0.96658853 -0.25635836
 1412.8  1.00000000  0.96655406  0.00872428  0.96659343 -0.25634169
 1412.9  1.00000000  0.96653748  0.01057248  0.96659531 -0.25633641
 1413.0  1.00000000  0.96651437  0.01242008  0.96659416 -0.25634242
 1413.1  1.00000000  0.96648513  0.01424187  0.96659006 -0.25635952
 1413.2  1.00000000  0.96645042  0.01601331  0.96658307 -0.25638733
 1413.3  1.00000000  0.96641107  0.01771080  0.96657334 -0.25642533
 1413.4  1.00000000  0.96636809  0.01931210  0.96656103 -0.25647288
 1413.5  1.00000000  0.96632258  0.02079649  0.96654634 -0.25652919
 1413.6  1.00000000  0.96627576  0.02214515  0.96652949 -0.25659337
 1413.7  1.00000000  0.96622885  0.02334135  0.96651073 -0.25666445
 1413.8  1.00000000  0.96618305  0.02437066  0.96649036 -0.25674134
 1413.9  1.00000000  0.96613952  0.02522115  0.96646867 -0.25682290
 1414.0  1.00000000  0.96609929  0.02588355  0.96644596 -0.25690794
 1414.1  1.00000000  0.96606325  0.02635131  0.96642257 -0.25699523
 1414.2  1.00000000  0.96603211  0.02662067  0.96639883 -0.25708353
 1414.3  1.00000000  0.96600640  0.02669068  0.96637506 -0.25717159
 1414.4  1.00000000  0.96598645  0.02656315  0.96635160 -0.25725819
 1414.5  1.00000000  0.96597236  0.02624265  0.96632876 -0.25734217
 1414.6  1.00000000  0.96596406  0.02573645  0.96630685 -0.25742237
 1414.7  1.00000000  0.96596131  0.02505418  0.96628617 -0.25749776
 1414.8  1.00000000  0.96596370  0.02420782  0.96626698 -0.25756734
 1414.9  1.00000000  0.96597071  0.02321145  0.96624954 -0.25763024
 1415.0  1.00000000  0.96598172  0.02208105  0.96623406 -0.25768570
 1415.1  1.00000000  0.96599609  0.02083417  0.96622073 -0.25773305
 1415.2  1.00000000  0.96601313  0.01948972  0.96620972 -0.25777177
 1415.3  1.00000000  0.96603220  0.01806769  0.96620114 -0.25780145
 1415.4  1.00000000  0.96605267  0.01658884  0.96619509 -0.25782183
 1415.5  1.00000000  0.96607401  0.01507437  0.96619161 -0.25783278
 1415.6  1.00000000  0.96609577  0.01354565  0.96619073 -0.25783427
