 # TIME  LP  TMAB  TMDS  TMPC  TMZ
  905.1  0.94444444  0.96653513  0.01736404  0.96669109 -0.25604086
  905.2  0.94444444  0.96660413  0.01358831  0.96669964 -0.25600709
  905.3  0.94444444  0.96666106  0.01006058  0.96671341 -0.25595257
  905.4  0.94444444  0.96670736  0.00689008  0.96673192 -0.25587967
  905.5  0.94444444  0.96674553  0.00417172  0.96675453 -0.25579125
  905.6  0.94444444  0.96677824  0.00198298  0.96678028 -0.25569078
  905.7  0.94444444  0.96680821  0.00038051  0.96680828 -0.25558187
  905.8  0.94444444  0.96683754 -0.00059986  0.96683773 -0.25546822
  905.9  0.94444444  0.96686717 -0.00094337  0.96686763 -0.25535365
  906.0  0.94444444  0.96689677 -0.00065636  0.96689700 -0.25524194
  906.1  0.94444444  0.96692477  0.00023339  0.96692480 -0.25513671
  906.2  0.94444444  0.96694881  0.00167859  0.96695027 -0.25504111
  906.3  0.94444444  0.96696585  0.00361506  0.96697261 -0.25495799
  906.4  0.94444444  0.96697279  0.00596500  0.96699119 -0.25488969
  906.5  0.94444444  0.96696679  0.00863971  0.96700539 -0.25483810
  906.6  0.94444444  0.96694598  0.01154275  0.96701487 -0.25480447
  906.7  0.94444444  0.96690962  0.01457352  0.96701944 -0.25478944
  906.8  0.94444444  0.96685839  0.01763097  0.96701913 -0.25479302
  906.9  0.94444444  0.96679427  0.02061701  0.96701407 -0.25481467
  907.0  0.94444444  0.96672047  0.02343851  0.96700456 -0.25485328
  907.1  0.94444444  0.96664118  0.02600922  0.96699103 -0.25490721
  907.2  0.94444444  0.96656125  0.02825179  0.96697405 -0.25497434
  907.3  0.94444444  0.96648565  0.03010049  0.96695427 -0.25505213
  907.4  0.94444444  0.96641904  0.03150325  0.96693238 -0.25513776
  907.5  0.94444444  0.96636532  0.03242314  0.96690909 -0.25522824
  907.6  0.94444444  0.96632735  0.03283939  0.96688519 -0.25532044
  907.7  0.94444444  0.96630674  0.03274862  0.96686151 -0.25541120
  907.8  0.94444444  0.96630366  0.03216534  0.96683886 -0.25549748
  907.9  0.94444444  0.96631689  0.03112089  0.96681790 -0.25557655
  908.0  0.94444444  0.96634411  0.02966137  0.96679922 -0.25564598
  908.1  0.94444444  0.96638229  0.02784553  0.96678338 -0.25570369
  908.2  0.94444444  0.96642803  0.02574304  0.96677084 -0.25574803
  908.3  0.94444444  0.96647785  0.02343172  0.96676185 -0.25577790
  908.4  0.94444444  0.96652860  0.02099407  0.96675658 -0.25579273
  908.5  0.94444444  0.96657786  0.01851444  0.96675516 -0.25579240
  908.6  0.94444444  0.96662392  0.01607662  0.96675761 -0.25577731
  908.7  0.94444444  0.96666582  0.01376104  0.96676377 -0.25574837
  908.8  0.94444444  0.96670328  0.01164169  0.96677338 -0.25570694
  908.9  0.94444444  0.96673662  0.00978393  0.96678613 -0.25565469
  909.0  0.94444444  0.96676646  0.00824290  0.96680160 -0.25559361
  909.1  0.94444444  0.96679342  0.00706190  0.96681921 -0.25552597
  909.2  0.94444444  0.96681801  0.00627099  0.96683835 -0.25545420
  909.3  0.94444444  0.96684042  0.00588621  0.96685834 -0.25538076
  909.4  0.94444444  0.96686046  0.00590970  0.96687852 -0.25530811
  909.5  0.94444444  0.96687746  0.00633004  0.96689818 -0.25523865
  909.6  0.94444444  0.96689038  0.00712278  0.96691662 -0.25517460
