 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 1130.3  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.4  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.5  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.6  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.7  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.8  0.94444444  0.96645380  0.02121321  0.96668659 -0.25605774
 1130.9  0.94444444  0.96645737  0.02105013  0.96668659 -0.25605771
 1131.0  0.94444444  0.96653831  0.01712048  0.96668993 -0.25604487
 1131.1  0.94444444  0.96660703  0.01332686  0.96669890 -0.25600946
 1131.2  0.94444444  0.96666353  0.00979047  0.96671311 -0.25595329
 1131.3  0.94444444  0.96670940  0.00662058  0.96673207 -0.25587873
 1131.4  0.94444444  0.96674718  0.00391193  0.96675509 -0.25578875
 1131.5  0.94444444  0.96677966  0.00174123  0.96678122 -0.25568686
 1131.6  0.94444444  0.96680958  0.00016430  0.96680960 -0.25557667
 1131.7  0.94444444  0.96683902 -0.00078405  0.96683934 -0.25546196
 1131.8  0.94444444  0.96686889 -0.00109022  0.96686950 -0.25534656
 1131.9  0.94444444  0.96689871 -0.00076209  0.96689901 -0.25523430
 1132.0  0.94444444  0.96692692  0.00017101  0.96692694 -0.25512874
 1132.1  0.94444444  0.96695100  0.00166034  0.96695242 -0.25503311
 1132.2  0.94444444  0.96696788  0.00364029  0.96697473 -0.25495019
 1132.3  0.94444444  0.96697436  0.00603162  0.96699317 -0.25488236
 1132.4  0.94444444  0.96696765  0.00874426  0.96700719 -0.25483147
 1132.5  0.94444444  0.96694587  0.01168063  0.96701642 -0.25479873
 1132.6  0.94444444  0.96690837  0.01473924  0.96702070 -0.25478474
 1132.7  0.94444444  0.96685589  0.01781849  0.96702007 -0.25478949
 1132.8  0.94444444  0.96679051  0.02081978  0.96701466 -0.25481240
 1132.9  0.94444444  0.96671555  0.02364965  0.96700479 -0.25485231
