 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2345.1  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.2  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.3  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.4  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.5  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.6  0.94444444  0.96733464  0.01658124  0.96747674 -0.25307657
 2345.7  0.94444444  0.96736210  0.01491730  0.96747711 -0.25307517
 2345.8  0.94444444  0.96739152  0.01296671  0.96747842 -0.25306997
 2345.9  0.94444444  0.96741746  0.01105569  0.96748063 -0.25306108
 2346.0  0.94444444  0.96743994  0.00920453  0.96748373 -0.25304862
 2346.1  0.94444444  0.96745912  0.00743263  0.96748768 -0.25303278
 2346.2  0.94444444  0.96747530  0.00575836  0.96749244 -0.25301376
 2346.3  0.94444444  0.96748882  0.00419879  0.96749793 -0.25299186
 2346.4  0.94444444  0.96750008  0.00276926  0.96750405 -0.25296737
 2346.5  0.94444444  0.96750962  0.00148342  0.96751076 -0.25294056
 2346.6  0.94444444  0.96751793  0.00035329  0.96751799 -0.25291176
 2346.7  0.94444444  0.96752546 -0.00061094  0.96752565 -0.25288131
 2346.8  0.94444444  0.96753263 -0.00140101  0.96753364 -0.25284957
 2346.9  0.94444444  0.96753976 -0.00201086  0.96754185 -0.25281694
 2347.0  0.94444444  0.96754716 -0.00243649  0.96755022 -0.25278373
 2347.1  0.94444444  0.96755496 -0.00267582  0.96755866 -0.25275034
 2347.2  0.94444444  0.96756321 -0.00272882  0.96756706 -0.25271711
 2347.3  0.94444444  0.96757185 -0.00259748  0.96757533 -0.25268442
 2347.4  0.94444444  0.96758067 -0.00228586  0.96758337 -0.25265262
 2347.5  0.94444444  0.96758943 -0.00179997  0.96759111 -0.25262204
 2347.6  0.94444444  0.96759778 -0.00114758  0.96759846 -0.25259298
 2347.7  0.94444444  0.96760530 -0.00033809  0.96760536 -0.25256575
 2347.8  0.94444444  0.96761153  0.00061749  0.96761173 -0.25254061
 2347.9  0.94444444  0.96761598  0.00170669  0.96761749 -0.25251783
 2348.0  0.94444444  0.96761819  0.00291569  0.96762258 -0.25249761
 2348.1  0.94444444  0.96761774  0.00422954  0.96762698 -0.25248015
 2348.2  0.94444444  0.96761425  0.00563238  0.96763064 -0.25246558
 2348.3  0.94444444  0.96760742  0.00710766  0.96763353 -0.25245404
 2348.4  0.94444444  0.96759706  0.00863827  0.96763562 -0.25244561
 2348.5  0.94444444  0.96758307  0.01020668  0.96763690 -0.25244036
 2348.6  0.94444444  0.96756547  0.01179513  0.96763736 -0.25243829
 2348.7  0.94444444  0.96754443  0.01338588  0.96763702 -0.25243939
 2348.8  0.94444444  0.96752023  0.01496147  0.96763590 -0.25244360
 2348.9  0.94444444  0.96749325  0.01650487  0.96763402 -0.25245083
 2349.0  0.94444444  0.96746399  0.01799963  0.96763141 -0.25246098
 2349.1  0.94444444  0.96743301  0.01943001  0.96762811 -0.25247388
 2349.2  0.94444444  0.96740098  0.02078115  0.96762416 -0.25248938
 2349.3  0.94444444  0.96736861  0.02203924  0.96761963 -0.25250724
 2349.4  0.94444444  0.96733662  0.02319173  0.96761458 -0.25252725
 2349.5  0.94444444  0.96730573  0.02422740  0.96760908 -0.25254915
 2349.6  0.94444444  0.96727663  0.02513649  0.96760318 -0.25257269
 2349.7  0.94444444  0.96724998  0.02591066  0.96759696 -0.25259758
 2349.8  0.94444444  0.96722635  0.02654317  0.96759049 -0.25262352
 2349.9  0.94444444  0.96720626  0.02702892  0.96758385 -0.25265021
 2350.0  0.94444444  0.96719009  0.02736457  0.96757712 -0.25267735
 2350.1  0.94444444  0.96717811  0.02754847  0.96757037 -0.25270462
 2350.2  0.94444444  0.96717048  0.02758064  0.96756365 -0.25273174
 2350.3  0.94444444  0.96716723  0.02746275  0.96755706 -0.25275840
 2350.4  0.94444444  0.96716829  0.02719808  0.96755064 -0.25278430
 2350.5  0.94444444  0.96717348  0.02679158  0.96754449 -0.25280918
 2350.6  0.94444444  0.96718249  0.02624968  0.96753864 -0.25283277
 2350.7  0.94444444  0.96719495  0.02558022  0.96753316 -0.25285483
 2350.8  0.94444444  0.96721040  0.02479230  0.96752809 -0.25287515
 2350.9  0.94444444  0.96722835  0.02389620  0.96752349 -0.25289351
 2351.0  0.94444444  0.96724829  0.02290330  0.96751941 -0.25290975
 2351.1  0.94444444  0.96726966  0.02182592  0.96751587 -0.25292371
 2351.2  0.94444444  0.96729194  0.02067708  0.96751291 -0.25293528
 2351.3  0.94444444  0.96731461  0.01947041  0.96751055 -0.25294436
 2351.4  0.94444444  0.96733723  0.01821999  0.96750881 -0.25295089
 2351.5  0.94444444  0.96735939  0.01694021  0.96750771 -0.25295483
 2351.6  0.94444444  0.96738073  0.01564558  0.96750724 -0.25295618
 2351.7  0.94444444  0.96740098  0.01435058  0.96750742 -0.25295495
 2351.8  0.94444444  0.96741995  0.01306942  0.96750822 -0.25295121
 2351.9  0.94444444  0.96743750  0.01181601  0.96750965 -0.25294501
 2352.0  0.94444444  0.96745357  0.01060378  0.96751168 -0.25293648
 2352.1  0.94444444  0.96746818  0.00944550  0.96751429 -0.25292572
 2352.2  0.94444444  0.96748136  0.00835316  0.96751742 -0.25291291
 2352.3  0.94444444  0.96749324  0.00733785  0.96752106 -0.25289819
 2352.4  0.94444444  0.96750393  0.00640965  0.96752516 -0.25288177
 2352.5  0.94444444  0.96751359  0.00557760  0.96752967 -0.25286384
 2352.6  0.94444444  0.96752237  0.00484952  0.96753452 -0.25284462
 2352.7  0.94444444  0.96753041  0.00423198  0.96753967 -0.25282435
 2352.8  0.94444444  0.96753786  0.00373022  0.96754505 -0.25280325
 2352.9  0.94444444  0.96754480  0.00334817  0.96755059 -0.25278158
 2353.0  0.94444444  0.96755131  0.00308839  0.96755624 -0.25275957
 2353.1  0.94444444  0.96755741  0.00295205  0.96756192 -0.25273748
 2353.2  0.94444444  0.96756310  0.00293895  0.96756756 -0.25271555
 2353.3  0.94444444  0.96756830  0.00304750  0.96757310 -0.25269402
 2353.4  0.94444444  0.96757294  0.00327482  0.96757849 -0.25267311
 2353.5  0.94444444  0.96757689  0.00361676  0.96758365 -0.25265305
 2353.6  0.94444444  0.96757998  0.00406797  0.96758853 -0.25263405
 2353.7  0.94444444  0.96758204  0.00462194  0.96759308 -0.25261631
 2353.8  0.94444444  0.96758289  0.00527111  0.96759725 -0.25260000
 2353.9  0.94444444  0.96758234  0.00600699  0.96760099 -0.25258528
 2354.0  0.94444444  0.96758024  0.00682023  0.96760428 -0.25257229
 2354.1  0.94444444  0.96757643  0.00770078  0.96760708 -0.25256115
 2354.2  0.94444444  0.96757081  0.00863798  0.96760937 -0.25255196
 2354.3  0.94444444  0.96756329  0.00962069  0.96761112 -0.25254479
 2354.4  0.94444444  0.96755386  0.01063741  0.96761233 -0.25253970
 2354.5  0.94444444  0.96754255  0.01167644  0.96761300 -0.25253671
 2354.6  0.94444444  0.96752944  0.01272602  0.96761313 -0.25253582
 2354.7  0.94444444  0.96751467  0.01377446  0.96761272 -0.25253701
 2354.8  0.94444444  0.96749844  0.01481022  0.96761179 -0.25254025
 2354.9  0.94444444  0.96748100  0.01582209  0.96761037 -0.25254546
 2355.0  0.94444444  0.96746263  0.01679927  0.96760847 -0.25255257
 2355.1  0.94444444  0.96744365  0.01773153  0.96760613 -0.25256147
 2355.2  0.94444444  0.96742442  0.01860926  0.96760339 -0.25257203
 2355.3  0.94444444  0.96740530  0.01942361  0.96760028 -0.25258411
 2355.4  0.94444444  0.96738667  0.02016655  0.96759684 -0.25259757
 2355.5  0.94444444  0.96736888  0.02083093  0.96759313 -0.25261223
 2355.6  0.94444444  0.96735227  0.02141058  0.96758919 -0.25262791
 2355.7  0.94444444  0.96733718  0.02190031  0.96758506 -0.25264443
 2355.8  0.94444444  0.96732387  0.02229604  0.96758079 -0.25266159
 2355.9  0.94444444  0.96731258  0.02259482  0.96757643 -0.25267920
 2356.0  0.94444444  0.96730348  0.02279469  0.96757203 -0.25269706
 2356.1  0.94444444  0.96729672  0.02289480  0.96756763 -0.25271496
 2356.2  0.94444444  0.96729235  0.02289546  0.96756328 -0.25273271
