 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2907.5  1.00000000  0.96670594  0.00829250  0.96674151 -0.25587720
 2907.6  1.00000000  0.96670594  0.00829280  0.96674151 -0.25587720
 2907.7  1.00000000  0.96670986  0.00783263  0.96674159 -0.25587684
 2907.8  1.00000000  0.96672605  0.00587470  0.96674390 -0.25586809
 2907.9  1.00000000  0.96674105  0.00396176  0.96674917 -0.25584778
 2908.0  1.00000000  0.96675491  0.00212898  0.96675725 -0.25581643
 2908.1  1.00000000  0.96676793  0.00040939  0.96676801 -0.25577475
 2908.2  1.00000000  0.96678052 -0.00116639  0.96678122 -0.25572362
 2908.3  1.00000000  0.96679321 -0.00257073  0.96679663 -0.25566410
 2908.4  1.00000000  0.96680651 -0.00377945  0.96681390 -0.25559742
 2908.5  1.00000000  0.96682087 -0.00477248  0.96683265 -0.25552492
 2908.6  1.00000000  0.96683672 -0.00553403  0.96685256 -0.25544799
 2908.7  1.00000000  0.96685433 -0.00605265  0.96687328 -0.25536808
 2908.8  1.00000000  0.96687374 -0.00632148  0.96689440 -0.25528672
 2908.9  1.00000000  0.96689476 -0.00633841  0.96691554 -0.25520542
 2909.0  1.00000000  0.96691700 -0.00610602  0.96693628 -0.25512571
 2909.1  1.00000000  0.96693985 -0.00563151  0.96695625 -0.25504903
 2909.2  1.00000000  0.96696257 -0.00492651  0.96697512 -0.25497675
 2909.3  1.00000000  0.96698427 -0.00400668  0.96699257 -0.25491015
 2909.4  1.00000000  0.96700395 -0.00289149  0.96700827 -0.25485042
 2909.5  1.00000000  0.96702062 -0.00160379  0.96702195 -0.25479858
 2909.6  1.00000000  0.96703336 -0.00016943  0.96703338 -0.25475553
 2909.7  1.00000000  0.96704137  0.00138329  0.96704236 -0.25472197
 2909.8  1.00000000  0.96704403  0.00302413  0.96704876 -0.25469843
 2909.9  1.00000000  0.96704098  0.00472165  0.96705251 -0.25468522
 2910.0  1.00000000  0.96703207  0.00644367  0.96705354 -0.25468250
 2910.1  1.00000000  0.96701745  0.00815791  0.96705186 -0.25469023
 2910.2  1.00000000  0.96699752  0.00983255  0.96704751 -0.25470816
 2910.3  1.00000000  0.96697296  0.01143671  0.96704059 -0.25473586
 2910.4  1.00000000  0.96694466  0.01294112  0.96703126 -0.25477272
 2910.5  1.00000000  0.96691372  0.01431863  0.96701973 -0.25481794
 2910.6  1.00000000  0.96688128  0.01554482  0.96700623 -0.25487059
 2910.7  1.00000000  0.96684857  0.01659833  0.96699103 -0.25492960
 2910.8  1.00000000  0.96681676  0.01746126  0.96697443 -0.25499382
 2910.9  1.00000000  0.96678694  0.01811942  0.96695672 -0.25506197
 2911.0  1.00000000  0.96676008  0.01856259  0.96693827 -0.25513273
 2911.1  1.00000000  0.96673695  0.01878476  0.96691944 -0.25520473
 2911.2  1.00000000  0.96671809  0.01878417  0.96690057 -0.25527660
 2911.3  1.00000000  0.96670381  0.01856335  0.96688203 -0.25534698
 2911.4  1.00000000  0.96669416  0.01812884  0.96686413 -0.25541457
 2911.5  1.00000000  0.96668898  0.01749118  0.96684721 -0.25547815
 2911.6  1.00000000  0.96668796  0.01666458  0.96683159 -0.25553653
 2911.7  1.00000000  0.96669060  0.01566670  0.96681755 -0.25558868
 2911.8  1.00000000  0.96669631  0.01451827  0.96680533 -0.25563370
 2911.9  1.00000000  0.96670443  0.01324256  0.96679513 -0.25567082
 2912.0  1.00000000  0.96671432  0.01186491  0.96678713 -0.25569946
 2912.1  1.00000000  0.96672540  0.01041231  0.96678147 -0.25571916
 2912.2  1.00000000  0.96673715  0.00891286  0.96677823 -0.25572965
 2912.3  1.00000000  0.96674917  0.00739522  0.96677745 -0.25573086
