 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 4830.5  1.00000000  0.96753172  0.00256937  0.96753513 -0.25297274
 4830.6  1.00000000  0.96753172  0.00256937  0.96753513 -0.25297274
 4830.7  1.00000000  0.96753172  0.00256937  0.96753513 -0.25297274
 4830.8  1.00000000  0.96753172  0.00256937  0.96753513 -0.25297274
 4830.9  1.00000000  0.96753698  0.00089740  0.96753740 -0.25296398
 4831.0  1.00000000  0.96754485 -0.00093913  0.96754531 -0.25293273
 4831.1  1.00000000  0.96755475 -0.00254167  0.96755809 -0.25288135
 4831.2  1.00000000  0.96756743 -0.00380704  0.96757492 -0.25281348
 4831.3  1.00000000  0.96758346 -0.00465583  0.96759466 -0.25273385
 4831.4  1.00000000  0.96760298 -0.00503699  0.96761609 -0.25264783
 4831.5  1.00000000  0.96762512 -0.00493077  0.96763768 -0.25256127
 4831.6  1.00000000  0.96764808 -0.00435088  0.96765787 -0.25248007
 4831.7  1.00000000  0.96766959 -0.00334290  0.96767536 -0.25240952
 4831.8  1.00000000  0.96768705 -0.00198028  0.96768907 -0.25235415
 4831.9  1.00000000  0.96769814 -0.00035913  0.96769821 -0.25231743
 4832.0  1.00000000  0.96770127  0.00140905  0.96770229 -0.25230149
 4832.1  1.00000000  0.96769577  0.00320481  0.96770108 -0.25230719
 4832.2  1.00000000  0.96768220  0.00490842  0.96769464 -0.25233395
 4832.3  1.00000000  0.96766219  0.00640754  0.96768340 -0.25237980
 4832.4  1.00000000  0.96763818  0.00760389  0.96766805 -0.25244151
 4832.5  1.00000000  0.96761309  0.00841995  0.96764972 -0.25251472
 4832.6  1.00000000  0.96758973  0.00880489  0.96762979 -0.25259425
 4832.7  1.00000000  0.96757029  0.00873847  0.96760975 -0.25267456
 4832.8  1.00000000  0.96755589  0.00823194  0.96759091 -0.25275024
 4832.9  1.00000000  0.96754663  0.00732570  0.96757436 -0.25281640
 4833.0  1.00000000  0.96754195  0.00608535  0.96756109 -0.25286878
 4833.1  1.00000000  0.96754117  0.00459789  0.96755210 -0.25290394
 4833.2  1.00000000  0.96754355  0.00296674  0.96754810 -0.25291964
 4833.3  1.00000000  0.96754837  0.00130432  0.96754925 -0.25291513
 4833.4  1.00000000  0.96755518 -0.00027708  0.96755522 -0.25289117
 4833.5  1.00000000  0.96756402 -0.00167325  0.96756547 -0.25284969
 4833.6  1.00000000  0.96757537 -0.00279391  0.96757940 -0.25279361
 4833.7  1.00000000  0.96758956 -0.00356761  0.96759613 -0.25272678
 4833.8  1.00000000  0.96760641 -0.00394664  0.96761446 -0.25265386
 4833.9  1.00000000  0.96762512 -0.00391065  0.96763302 -0.25257988
 4834.0  1.00000000  0.96764431 -0.00346793  0.96765053 -0.25250983
 4834.1  1.00000000  0.96766225 -0.00265397  0.96766589 -0.25244830
 4834.2  1.00000000  0.96767697 -0.00152828  0.96767817 -0.25239921
 4834.3  1.00000000  0.96768663 -0.00017003  0.96768665 -0.25236568
 4834.4  1.00000000  0.96768984  0.00132725  0.96769076 -0.25234978
 4834.5  1.00000000  0.96768599  0.00286179  0.96769022 -0.25235242
 4834.6  1.00000000  0.96767541  0.00433012  0.96768510 -0.25237324
 4834.7  1.00000000  0.96765935  0.00563409  0.96767576 -0.25241065
 4834.8  1.00000000  0.96763981  0.00668766  0.96766292 -0.25246188
 4834.9  1.00000000  0.96761907  0.00742293  0.96764754 -0.25252327
 4835.0  1.00000000  0.96759932  0.00779473  0.96763072 -0.25259053
 4835.1  1.00000000  0.96758225  0.00778313  0.96761355 -0.25265908
 4835.2  1.00000000  0.96756888  0.00739400  0.96759713 -0.25272431
 4835.3  1.00000000  0.96755967  0.00665824  0.96758258 -0.25278189
 4835.4  1.00000000  0.96755453  0.00562980  0.96757091 -0.25282795
 4835.5  1.00000000  0.96755302  0.00438217  0.96756295 -0.25285953
 4835.6  1.00000000  0.96755447  0.00300273  0.96755913 -0.25287474
 4835.7  1.00000000  0.96755828  0.00158614  0.96755958 -0.25287287
 4835.8  1.00000000  0.96756418  0.00022773  0.96756420 -0.25285429
 4835.9  1.00000000  0.96757221 -0.00098233  0.96757270 -0.25282043
 4836.0  1.00000000  0.96758249 -0.00196472  0.96758448 -0.25277376
 4836.1  1.00000000  0.96759501 -0.00265640  0.96759866 -0.25271762
 4836.2  1.00000000  0.96760949 -0.00301498  0.96761418 -0.25265595
 4836.3  1.00000000  0.96762527 -0.00302127  0.96762998 -0.25259296
 4836.4  1.00000000  0.96764133 -0.00267991  0.96764504 -0.25253284
 4836.5  1.00000000  0.96765629 -0.00201852  0.96765839 -0.25247956
 4836.6  1.00000000  0.96766856 -0.00108566  0.96766916 -0.25243659
 4836.7  1.00000000  0.96767666  0.00005257  0.96767666 -0.25240669
 4836.8  1.00000000  0.96767950  0.00131702  0.96768040 -0.25239172
 4836.9  1.00000000  0.96767664  0.00262101  0.96768019 -0.25239248
 4837.0  1.00000000  0.96766835  0.00387637  0.96767611 -0.25240872
 4837.1  1.00000000  0.96765559  0.00499947  0.96766850 -0.25243912
 4837.2  1.00000000  0.96763981  0.00591677  0.96765790 -0.25248148
