 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2557.6  0.94444444  0.96753021  0.00479034  0.96754207 -0.25288099
 2557.7  0.94444444  0.96753658  0.00347214  0.96754281 -0.25287815
 2557.8  0.94444444  0.96754524  0.00155100  0.96754648 -0.25286372
 2557.9  0.94444444  0.96755291 -0.00025627  0.96755294 -0.25283781
 2558.0  0.94444444  0.96756014 -0.00188810  0.96756198 -0.25280143
 2558.1  0.94444444  0.96756770 -0.00328985  0.96757329 -0.25275600
 2558.2  0.94444444  0.96757643 -0.00441547  0.96758650 -0.25270317
 2558.3  0.94444444  0.96758703 -0.00522870  0.96760116 -0.25264489
 2558.4  0.94444444  0.96759977 -0.00570495  0.96761659 -0.25258336
 2558.5  0.94444444  0.96761466 -0.00583236  0.96763224 -0.25252078
 2558.6  0.94444444  0.96763135 -0.00561144  0.96764762 -0.25245931
 2558.7  0.94444444  0.96764900 -0.00505485  0.96766220 -0.25240107
 2558.8  0.94444444  0.96766647 -0.00418662  0.96767552 -0.25234803
 2558.9  0.94444444  0.96768234 -0.00304112  0.96768712 -0.25230197
 2559.0  0.94444444  0.96769511 -0.00166220  0.96769654 -0.25226449
 2559.1  0.94444444  0.96770350 -0.00010155  0.96770350 -0.25223676
 2559.2  0.94444444  0.96770649  0.00158351  0.96770779 -0.25221964
 2559.3  0.94444444  0.96770356  0.00333195  0.96770929 -0.25221359
 2559.4  0.94444444  0.96769470  0.00508172  0.96770804 -0.25221865
 2559.5  0.94444444  0.96768038  0.00677182  0.96770407 -0.25223453
 2559.6  0.94444444  0.96766154  0.00834413  0.96769751 -0.25226058
 2559.7  0.94444444  0.96763952  0.00974511  0.96768860 -0.25229577
 2559.8  0.94444444  0.96761593  0.01092739  0.96767763 -0.25233879
 2559.9  0.94444444  0.96759248  0.01185146  0.96766506 -0.25238798
 2560.0  0.94444444  0.96757086  0.01248767  0.96765144 -0.25244146
 2560.1  0.94444444  0.96755239  0.01281737  0.96763729 -0.25249726
 2560.2  0.94444444  0.96753800  0.01283336  0.96762311 -0.25255338
 2560.3  0.94444444  0.96752808  0.01253956  0.96760933 -0.25260788
 2560.4  0.94444444  0.96752262  0.01195018  0.96759642 -0.25265889
 2560.5  0.94444444  0.96752133  0.01108952  0.96758488 -0.25270459
 2560.6  0.94444444  0.96752361  0.00999163  0.96757520 -0.25274338
 2560.7  0.94444444  0.96752858  0.00869900  0.96756769 -0.25277398
 2560.8  0.94444444  0.96753526  0.00726047  0.96756250 -0.25279550
 2560.9  0.94444444  0.96754276  0.00572875  0.96755972 -0.25280737
 2561.0  0.94444444  0.96755050  0.00415868  0.96755944 -0.25280929
 2561.1  0.94444444  0.96755819  0.00260595  0.96756170 -0.25280127
 2561.2  0.94444444  0.96756574  0.00112532  0.96756640 -0.25278374
 2561.3  0.94444444  0.96757323 -0.00023179  0.96757326 -0.25275751
 2561.4  0.94444444  0.96758091 -0.00141947  0.96758195 -0.25272369
 2561.5  0.94444444  0.96758917 -0.00239880  0.96759214 -0.25268356
 2561.6  0.94444444  0.96759843 -0.00313857  0.96760353 -0.25263856
 2561.7  0.94444444  0.96760895 -0.00361611  0.96761571 -0.25259032
 2561.8  0.94444444  0.96762070 -0.00381808  0.96762823 -0.25254060
 2561.9  0.94444444  0.96763337 -0.00374121  0.96764060 -0.25249120
 2562.0  0.94444444  0.96764642 -0.00339236  0.96765237 -0.25244385
 2562.1  0.94444444  0.96765915 -0.00278792  0.96766317 -0.25240015
 2562.2  0.94444444  0.96767071 -0.00195294  0.96767268 -0.25236155
 2562.3  0.94444444  0.96768015 -0.00091998  0.96768059 -0.25232932
 2562.4  0.94444444  0.96768660  0.00027197  0.96768664 -0.25230451
 2562.5  0.94444444  0.96768934  0.00157888  0.96769063 -0.25228789
 2562.6  0.94444444  0.96768791  0.00295318  0.96769241 -0.25227995
 2562.7  0.94444444  0.96768222  0.00434553  0.96769198 -0.25228085
 2562.8  0.94444444  0.96767256  0.00570677  0.96768938 -0.25229041
