 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2380.0  0.94444444  0.96818000  0.00109831  0.96818062 -0.25043082
 2380.1  0.94444444  0.96818183 -0.00063881  0.96818204 -0.25042318
 2380.2  0.94444444  0.96818177 -0.00199246  0.96818382 -0.25041155
 2380.3  0.94444444  0.96818201 -0.00282875  0.96818615 -0.25039701
 2380.4  0.94444444  0.96818414 -0.00305935  0.96818897 -0.25038107
 2380.5  0.94444444  0.96818778 -0.00267020  0.96819146 -0.25036594
 2380.6  0.94444444  0.96819177 -0.00173264  0.96819332 -0.25035329
 2380.7  0.94444444  0.96819465 -0.00036709  0.96819472 -0.25034418
 2380.8  0.94444444  0.96819478  0.00127063  0.96819561 -0.25033943
 2380.9  0.94444444  0.96819101  0.00299754  0.96819565 -0.25033970
 2381.0  0.94444444  0.96818373  0.00461280  0.96819471 -0.25034494
 2381.1  0.94444444  0.96817497  0.00593630  0.96819317 -0.25035427
 2381.2  0.94444444  0.96816717  0.00683102  0.96819126 -0.25036648
 2381.3  0.94444444  0.96816223  0.00721249  0.96818909 -0.25038026
 2381.4  0.94444444  0.96816104  0.00704543  0.96818668 -0.25039420
 2381.5  0.94444444  0.96816371  0.00635747  0.96818458 -0.25040648
 2381.6  0.94444444  0.96816892  0.00524327  0.96818312 -0.25041572
 2381.7  0.94444444  0.96817467  0.00384282  0.96818230 -0.25042107
 2381.8  0.94444444  0.96817925  0.00231575  0.96818202 -0.25042217
 2381.9  0.94444444  0.96818222  0.00083348  0.96818258 -0.25041880
 2382.0  0.94444444  0.96818377 -0.00043465  0.96818387 -0.25041147
 2382.1  0.94444444  0.96818464 -0.00135249  0.96818558 -0.25040124
 2382.2  0.94444444  0.96818574 -0.00183102  0.96818747 -0.25038934
 2382.3  0.94444444  0.96818777 -0.00182958  0.96818950 -0.25037700
 2382.4  0.94444444  0.96819044 -0.00135767  0.96819139 -0.25036564
 2382.5  0.94444444  0.96819275 -0.00048053  0.96819286 -0.25035654
 2382.6  0.94444444  0.96819353  0.00069251  0.96819378 -0.25035066
 2382.7  0.94444444  0.96819199  0.00202238  0.96819411 -0.25034851
 2382.8  0.94444444  0.96818803  0.00335896  0.96819385 -0.25035023
 2382.9  0.94444444  0.96818230  0.00455407  0.96819301 -0.25035557
 2383.0  0.94444444  0.96817617  0.00547836  0.96819167 -0.25036387
 2383.1  0.94444444  0.96817116  0.00603360  0.96818996 -0.25037414
 2383.2  0.94444444  0.96816853  0.00616686  0.96818817 -0.25038513
 2383.3  0.94444444  0.96816865  0.00587538  0.96818648 -0.25039560
 2383.4  0.94444444  0.96817103  0.00520261  0.96818501 -0.25040444
 2383.5  0.94444444  0.96817466  0.00423068  0.96818391 -0.25041071
 2383.6  0.94444444  0.96817855  0.00307602  0.96818343 -0.25041366
 2383.7  0.94444444  0.96818176  0.00187581  0.96818358 -0.25041309
 2383.8  0.94444444  0.96818391  0.00076491  0.96818421 -0.25040924
 2383.9  0.94444444  0.96818526 -0.00013782  0.96818527 -0.25040261
 2384.0  0.94444444  0.96818646 -0.00073644  0.96818674 -0.25039392
 2384.1  0.94444444  0.96818788 -0.00096972  0.96818837 -0.25038426
 2384.2  0.94444444  0.96818953 -0.00082338  0.96818988 -0.25037480
 2384.3  0.94444444  0.96819112 -0.00032621  0.96819117 -0.25036651
 2384.4  0.94444444  0.96819211  0.00045864  0.96819222 -0.25036022
 2384.5  0.94444444  0.96819178  0.00143953  0.96819285 -0.25035661
 2384.6  0.94444444  0.96818968  0.00250125  0.96819291 -0.25035610
 2384.7  0.94444444  0.96818606  0.00352109  0.96819247 -0.25035863
 2384.8  0.94444444  0.96818171  0.00438725  0.96819165 -0.25036376
 2384.9  0.94444444  0.96817757  0.00500989  0.96819053 -0.25037091
 2385.0  0.94444444  0.96817449  0.00532453  0.96818913 -0.25037931
 2385.1  0.94444444  0.96817316  0.00530104  0.96818767 -0.25038794
 2385.2  0.94444444  0.96817375  0.00495143  0.96818641 -0.25039575
 2385.3  0.94444444  0.96817577  0.00432576  0.96818543 -0.25040193
 2385.4  0.94444444  0.96817842  0.00349985  0.96818474 -0.25040592
 2385.5  0.94444444  0.96818108  0.00256840  0.96818448 -0.25040725
 2385.6  0.94444444  0.96818337  0.00163995  0.96818476 -0.25040580
 2385.7  0.94444444  0.96818510  0.00082011  0.96818544 -0.25040185
 2385.8  0.94444444  0.96818636  0.00019577  0.96818638 -0.25039598
 2385.9  0.94444444  0.96818753 -0.00017032  0.96818754 -0.25038882
 2386.0  0.94444444  0.96818881 -0.00024202  0.96818884 -0.25038116
 2386.1  0.94444444  0.96819003 -0.00001830  0.96819003 -0.25037395
 2386.2  0.94444444  0.96819085  0.00046634  0.96819096 -0.25036798
 2386.3  0.94444444  0.96819093  0.00115007  0.96819162 -0.25036384
 2386.4  0.94444444  0.96818999  0.00195345  0.96819196 -0.25036190
 2386.5  0.94444444  0.96818789  0.00278493  0.96819189 -0.25036239
 2386.6  0.94444444  0.96818491  0.00355027  0.96819142 -0.25036519
 2386.7  0.94444444  0.96818168  0.00416511  0.96819064 -0.25036992
 2386.8  0.94444444  0.96817891  0.00456550  0.96818967 -0.25037598
 2386.9  0.94444444  0.96817711  0.00471284  0.96818858 -0.25038270
 2387.0  0.94444444  0.96817657  0.00459600  0.96818748 -0.25038931
 2387.1  0.94444444  0.96817725  0.00423400  0.96818651 -0.25039507
 2387.2  0.94444444  0.96817885  0.00367416  0.96818582 -0.25039931
 2387.3  0.94444444  0.96818085  0.00298511  0.96818545 -0.25040163
 2387.4  0.94444444  0.96818280  0.00224650  0.96818541 -0.25040185
 2387.5  0.94444444  0.96818449  0.00154159  0.96818572 -0.25039996
 2387.6  0.94444444  0.96818588  0.00094845  0.96818634 -0.25039624
 2387.7  0.94444444  0.96818704  0.00053093  0.96818719 -0.25039115
 2387.8  0.94444444  0.96818808  0.00033028  0.96818814 -0.25038532
 2387.9  0.94444444  0.96818903  0.00036271  0.96818910 -0.25037939
 2388.0  0.94444444  0.96818978  0.00061877  0.96818998 -0.25037402
 2388.1  0.94444444  0.96819010  0.00106487  0.96819068 -0.25036980
 2388.2  0.94444444  0.96818970  0.00164618  0.96819110 -0.25036718
 2388.3  0.94444444  0.96818850  0.00229390  0.96819122 -0.25036641
 2388.4  0.94444444  0.96818659  0.00293420  0.96819104 -0.25036750
 2388.5  0.94444444  0.96818428  0.00349670  0.96819060 -0.25037030
 2388.6  0.94444444  0.96818197  0.00392077  0.96818991 -0.25037447
 2388.7  0.94444444  0.96818013  0.00416185  0.96818908 -0.25037951
 2388.8  0.94444444  0.96817911  0.00419761  0.96818821 -0.25038481
 2388.9  0.94444444  0.96817902  0.00403005  0.96818741 -0.25038978
 2389.0  0.94444444  0.96817972  0.00368303  0.96818673 -0.25039389
 2389.1  0.94444444  0.96818096  0.00319885  0.96818624 -0.25039671
 2389.2  0.94444444  0.96818246  0.00263524  0.96818605 -0.25039791
 2389.3  0.94444444  0.96818396  0.00205816  0.96818615 -0.25039742
 2389.4  0.94444444  0.96818527  0.00153232  0.96818648 -0.25039537
 2389.5  0.94444444  0.96818638  0.00111408  0.96818703 -0.25039201
 2389.6  0.94444444  0.96818737  0.00084759  0.96818774 -0.25038773
 2389.7  0.94444444  0.96818822  0.00075928  0.96818852 -0.25038305
 2389.8  0.94444444  0.96818887  0.00085387  0.96818925 -0.25037851
 2389.9  0.94444444  0.96818923  0.00111521  0.96818987 -0.25037461
 2390.0  0.94444444  0.96818917  0.00151038  0.96819035 -0.25037174
 2390.1  0.94444444  0.96818856  0.00199270  0.96819061 -0.25037020
 2390.2  0.94444444  0.96818737  0.00250597  0.96819061 -0.25037016
 2390.3  0.94444444  0.96818575  0.00299155  0.96819038 -0.25037156
 2390.4  0.94444444  0.96818399  0.00339630  0.96818995 -0.25037420
 2390.5  0.94444444  0.96818239  0.00367773  0.96818937 -0.25037777
 2390.6  0.94444444  0.96818121  0.00380721  0.96818870 -0.25038186
 2390.7  0.94444444  0.96818066  0.00377359  0.96818801 -0.25038599
 2390.8  0.94444444  0.96818077  0.00358511  0.96818741 -0.25038968
 2390.9  0.94444444  0.96818144  0.00326736  0.96818695 -0.25039253
 2391.0  0.94444444  0.96818244  0.00285878  0.96818666 -0.25039428
 2391.1  0.94444444  0.96818358  0.00240682  0.96818657 -0.25039474
 2391.2  0.94444444  0.96818473  0.00196333  0.96818672 -0.25039387
 2391.3  0.94444444  0.96818578  0.00157800  0.96818707 -0.25039183
 2391.4  0.94444444  0.96818668  0.00129192  0.96818754 -0.25038888
 2391.5  0.94444444  0.96818746  0.00113415  0.96818812 -0.25038537
 2391.6  0.94444444  0.96818808  0.00111922  0.96818873 -0.25038168
 2391.7  0.94444444  0.96818849  0.00124530  0.96818929 -0.25037826
 2391.8  0.94444444  0.96818859  0.00149438  0.96818974 -0.25037547
 2391.9  0.94444444  0.96818830  0.00183529  0.96819004 -0.25037361
