 # AA:        411877.72547989147     
 # FLEGG:     245722.11282076681     
 # AF0:     -5.33308614247767210E-002
 # CPAR:      555.55779854881382     
 # Diff:     0.12463198212018202     
 # TF:       2.68328157299974766E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.28000000000182562     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
41291.9  1.50000000  0.96810437  0.00045782  0.96810448 -0.25091311
41292.0  1.50000000  0.96810764 -0.00052064  0.96810778 -0.25089356
41292.1  1.50000000  0.96811130 -0.00067420  0.96811153 -0.25087156
41292.2  1.50000000  0.96811477 -0.00000604  0.96811477 -0.25085196
41292.3  1.50000000  0.96811612  0.00131045  0.96811700 -0.25083861
41292.4  1.50000000  0.96811328  0.00298179  0.96811787 -0.25083406
41292.5  1.50000000  0.96810574  0.00463747  0.96811684 -0.25083923
41292.6  1.50000000  0.96809665  0.00593277  0.96811483 -0.25085219
41292.7  1.50000000  0.96808905  0.00661187  0.96811162 -0.25087047
41292.8  1.50000000  0.96808626  0.00654715  0.96810840 -0.25088963
41292.9  1.50000000  0.96808837  0.00578851  0.96810568 -0.25090575
41293.0  1.50000000  0.96809340  0.00451603  0.96810394 -0.25091560
41293.1  1.50000000  0.96809900  0.00301857  0.96810371 -0.25091719
41293.2  1.50000000  0.96810349  0.00162239  0.96810485 -0.25091064
41293.3  1.50000000  0.96810683  0.00061089  0.96810702 -0.25089767
41293.4  1.50000000  0.96810997  0.00018806  0.96810999 -0.25088103
41293.5  1.50000000  0.96811255  0.00041520  0.96811263 -0.25086472
41293.6  1.50000000  0.96811417  0.00122104  0.96811494 -0.25085172
41293.7  1.50000000  0.96811298  0.00241713  0.96811600 -0.25084498
41293.8  1.50000000  0.96810866  0.00373348  0.96811586 -0.25084551
41293.9  1.50000000  0.96810227  0.00489234  0.96811463 -0.25085290
41294.0  1.50000000  0.96809590  0.00565602  0.96811243 -0.25086549
41294.1  1.50000000  0.96809208  0.00587544  0.96810991 -0.25088031
