 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2629.9  1.00000000  0.96816748  0.00283481  0.96817163 -0.25048319
 2630.0  1.00000000  0.96817217  0.00094368  0.96817263 -0.25047870
 2630.1  1.00000000  0.96817389 -0.00067220  0.96817412 -0.25046953
 2630.2  1.00000000  0.96817434 -0.00185290  0.96817611 -0.25045670
 2630.3  1.00000000  0.96817559 -0.00247689  0.96817875 -0.25044143
 2630.4  1.00000000  0.96817830 -0.00248170  0.96818148 -0.25042570
 2630.5  1.00000000  0.96818176 -0.00189434  0.96818361 -0.25041154
 2630.6  1.00000000  0.96818510 -0.00080217  0.96818543 -0.25040009
 2630.7  1.00000000  0.96818654  0.00066676  0.96818677 -0.25039250
 2630.8  1.00000000  0.96818444  0.00234230  0.96818727 -0.25038971
 2630.9  1.00000000  0.96817838  0.00402488  0.96818675 -0.25039201
 2631.0  1.00000000  0.96816992  0.00552577  0.96818569 -0.25039869
 2631.1  1.00000000  0.96816099  0.00668984  0.96818410 -0.25040899
 2631.2  1.00000000  0.96815373  0.00739580  0.96818197 -0.25042183
 2631.3  1.00000000  0.96814996  0.00757077  0.96817956 -0.25043569
 2631.4  1.00000000  0.96815063  0.00721176  0.96817749 -0.25044870
 2631.5  1.00000000  0.96815470  0.00638059  0.96817573 -0.25045963
 2631.6  1.00000000  0.96816051  0.00517900  0.96817436 -0.25046741
 2631.7  1.00000000  0.96816647  0.00374979  0.96817374 -0.25047109
 2631.8  1.00000000  0.96817132  0.00226461  0.96817397 -0.25047033
 2631.9  1.00000000  0.96817430  0.00089045  0.96817471 -0.25046561
 2632.0  1.00000000  0.96817600 -0.00022824  0.96817603 -0.25045742
 2632.1  1.00000000  0.96817740 -0.00097032  0.96817788 -0.25044669
 2632.2  1.00000000  0.96817904 -0.00126272  0.96817986 -0.25043483
 2632.3  1.00000000  0.96818107 -0.00109051  0.96818169 -0.25042324
 2632.4  1.00000000  0.96818327 -0.00048679  0.96818339 -0.25041301
 2632.5  1.00000000  0.96818459  0.00047353  0.96818470 -0.25040530
 2632.6  1.00000000  0.96818390  0.00167099  0.96818534 -0.25040101
 2632.7  1.00000000  0.96818085  0.00296259  0.96818538 -0.25040043
 2632.8  1.00000000  0.96817583  0.00420461  0.96818496 -0.25040342
 2632.9  1.00000000  0.96816966  0.00526361  0.96818397 -0.25040968
 2633.0  1.00000000  0.96816372  0.00602244  0.96818245 -0.25041850
 2633.1  1.00000000  0.96815959  0.00640321  0.96818077 -0.25042867
 2633.2  1.00000000  0.96815813  0.00637808  0.96817914 -0.25043899
 2633.3  1.00000000  0.96815919  0.00596168  0.96817754 -0.25044847
 2633.4  1.00000000  0.96816221  0.00520674  0.96817622 -0.25045602
 2633.5  1.00000000  0.96816636  0.00420995  0.96817551 -0.25046068
 2633.6  1.00000000  0.96817036  0.00309338  0.96817530 -0.25046217
 2633.7  1.00000000  0.96817349  0.00198137  0.96817552 -0.25046049
 2633.8  1.00000000  0.96817580  0.00099622  0.96817631 -0.25045576
 2633.9  1.00000000  0.96817755  0.00024869  0.96817758 -0.25044860
 2634.0  1.00000000  0.96817893 -0.00018640  0.96817895 -0.25044007
 2634.1  1.00000000  0.96818035 -0.00027385  0.96818039 -0.25043103
 2634.2  1.00000000  0.96818186 -0.00001151  0.96818186 -0.25042242
 2634.3  1.00000000  0.96818289  0.00056401  0.96818306 -0.25041528
 2634.4  1.00000000  0.96818281  0.00137634  0.96818378 -0.25041044
 2634.5  1.00000000  0.96818134  0.00232690  0.96818413 -0.25040822
 2634.6  1.00000000  0.96817844  0.00330945  0.96818409 -0.25040880
 2634.7  1.00000000  0.96817437  0.00421405  0.96818354 -0.25041214
 2634.8  1.00000000  0.96816995  0.00493868  0.96818255 -0.25041780
 2634.9  1.00000000  0.96816629  0.00540805  0.96818140 -0.25042495
 2635.0  1.00000000  0.96816407  0.00558027  0.96818015 -0.25043281
 2635.1  1.00000000  0.96816353  0.00544332  0.96817883 -0.25044057
 2635.2  1.00000000  0.96816468  0.00501904  0.96817769 -0.25044728
 2635.3  1.00000000  0.96816709  0.00436470  0.96817693 -0.25045218
 2635.4  1.00000000  0.96816994  0.00356167  0.96817649 -0.25045486
 2635.5  1.00000000  0.96817264  0.00270084  0.96817640 -0.25045509
 2635.6  1.00000000  0.96817498  0.00188035  0.96817681 -0.25045283
 2635.7  1.00000000  0.96817684  0.00119332  0.96817758 -0.25044844
 2635.8  1.00000000  0.96817825  0.00071072  0.96817852 -0.25044256
 2635.9  1.00000000  0.96817950  0.00047826  0.96817962 -0.25043580
 2636.0  1.00000000  0.96818066  0.00051697  0.96818080 -0.25042892
 2636.1  1.00000000  0.96818146  0.00081486  0.96818180 -0.25042276
 2636.2  1.00000000  0.96818163  0.00132880  0.96818254 -0.25041798
 2636.3  1.00000000  0.96818099  0.00199590  0.96818305 -0.25041498
 2636.4  1.00000000  0.96817935  0.00274011  0.96818322 -0.25041409
 2636.5  1.00000000  0.96817674  0.00347504  0.96818298 -0.25041542
 2636.6  1.00000000  0.96817366  0.00411733  0.96818242 -0.25041870
 2636.7  1.00000000  0.96817074  0.00459959  0.96818166 -0.25042347
 2636.8  1.00000000  0.96816846  0.00487369  0.96818072 -0.25042921
 2636.9  1.00000000  0.96816722  0.00491277  0.96817968 -0.25043529
 2637.0  1.00000000  0.96816726  0.00471908  0.96817876 -0.25044093
 2637.1  1.00000000  0.96816838  0.00432317  0.96817803 -0.25044553
 2637.2  1.00000000  0.96817014  0.00377432  0.96817749 -0.25044868
 2637.3  1.00000000  0.96817217  0.00313636  0.96817725 -0.25045001
 2637.4  1.00000000  0.96817420  0.00248473  0.96817739 -0.25044940
 2637.5  1.00000000  0.96817594  0.00189337  0.96817779 -0.25044703
 2637.6  1.00000000  0.96817734  0.00142440  0.96817839 -0.25044323
 2637.7  1.00000000  0.96817854  0.00112660  0.96817920 -0.25043840
 2637.8  1.00000000  0.96817955  0.00103007  0.96818010 -0.25043312
 2637.9  1.00000000  0.96818024  0.00113868  0.96818091 -0.25042807
 2638.0  1.00000000  0.96818054  0.00143285  0.96818160 -0.25042373
 2638.1  1.00000000  0.96818033  0.00187587  0.96818215 -0.25042055
 2638.2  1.00000000  0.96817941  0.00241500  0.96818242 -0.25041889
 2638.3  1.00000000  0.96817778  0.00298584  0.96818239 -0.25041891
 2638.4  1.00000000  0.96817572  0.00352367  0.96818213 -0.25042050
 2638.5  1.00000000  0.96817353  0.00397128  0.96818167 -0.25042346
 2638.6  1.00000000  0.96817154  0.00428097  0.96818100 -0.25042746
 2638.7  1.00000000  0.96817013  0.00442054  0.96818023 -0.25043200
 2638.8  1.00000000  0.96816959  0.00438006  0.96817950 -0.25043652
 2638.9  1.00000000  0.96816986  0.00417044  0.96817885 -0.25044056
 2639.0  1.00000000  0.96817077  0.00381863  0.96817830 -0.25044370
 2639.1  1.00000000  0.96817214  0.00336754  0.96817800 -0.25044556
 2639.2  1.00000000  0.96817370  0.00287188  0.96817796 -0.25044598
 2639.3  1.00000000  0.96817516  0.00238809  0.96817811 -0.25044500
 2639.4  1.00000000  0.96817647  0.00196833  0.96817847 -0.25044275
 2639.5  1.00000000  0.96817761  0.00165826  0.96817903 -0.25043949
 2639.6  1.00000000  0.96817853  0.00149010  0.96817967 -0.25043563
 2639.7  1.00000000  0.96817918  0.00147734  0.96818031 -0.25043165
 2639.8  1.00000000  0.96817957  0.00161650  0.96818092 -0.25042795
 2639.9  1.00000000  0.96817959  0.00188893  0.96818143 -0.25042494
 2640.0  1.00000000  0.96817911  0.00226027  0.96818175 -0.25042296
 2640.1  1.00000000  0.96817813  0.00268522  0.96818185 -0.25042220
 2640.2  1.00000000  0.96817677  0.00311539  0.96818179 -0.25042267
 2640.3  1.00000000  0.96817518  0.00350359  0.96818152 -0.25042431
 2640.4  1.00000000  0.96817359  0.00380696  0.96818108 -0.25042693
 2640.5  1.00000000  0.96817230  0.00399364  0.96818054 -0.25043017
 2640.6  1.00000000  0.96817152  0.00404710  0.96817998 -0.25043365
 2640.7  1.00000000  0.96817131  0.00396530  0.96817943 -0.25043700
 2640.8  1.00000000  0.96817164  0.00376023  0.96817894 -0.25043986
 2640.9  1.00000000  0.96817244  0.00345863  0.96817862 -0.25044187
 2641.0  1.00000000  0.96817351  0.00309780  0.96817846 -0.25044287
 2641.1  1.00000000  0.96817465  0.00271903  0.96817846 -0.25044279
 2641.2  1.00000000  0.96817577  0.00236464  0.96817865 -0.25044165
 2641.3  1.00000000  0.96817679  0.00207431  0.96817901 -0.25043959
 2641.4  1.00000000  0.96817763  0.00187851  0.96817945 -0.25043690
 2641.5  1.00000000  0.96817827  0.00179542  0.96817993 -0.25043390
 2641.6  1.00000000  0.96817870  0.00183130  0.96818044 -0.25043090
 2641.7  1.00000000  0.96817886  0.00197941  0.96818088 -0.25042825
 2641.8  1.00000000  0.96817865  0.00221943  0.96818120 -0.25042626
 2641.9  1.00000000  0.96817810  0.00252158  0.96818138 -0.25042509
 2642.0  1.00000000  0.96817723  0.00285114  0.96818143 -0.25042486
 2642.1  1.00000000  0.96817612  0.00317073  0.96818131 -0.25042559
 2642.2  1.00000000  0.96817491  0.00344424  0.96818104 -0.25042717
 2642.3  1.00000000  0.96817383  0.00364265  0.96818068 -0.25042936
 2642.4  1.00000000  0.96817302  0.00374666  0.96818027 -0.25043193
 2642.5  1.00000000  0.96817257  0.00374704  0.96817982 -0.25043459
 2642.6  1.00000000  0.96817255  0.00364623  0.96817941 -0.25043702
 2642.7  1.00000000  0.96817293  0.00345897  0.96817911 -0.25043895
 2642.8  1.00000000  0.96817358  0.00320886  0.96817890 -0.25044021
 2642.9  1.00000000  0.96817439  0.00292496  0.96817881 -0.25044066
 2643.0  1.00000000  0.96817528  0.00263994  0.96817888 -0.25044027
 2643.1  1.00000000  0.96817615  0.00238624  0.96817909 -0.25043911
 2643.2  1.00000000  0.96817689  0.00219092  0.96817937 -0.25043734
 2643.3  1.00000000  0.96817751  0.00207374  0.96817973 -0.25043517
 2643.4  1.00000000  0.96817796  0.00204568  0.96818012 -0.25043285
 2643.5  1.00000000  0.96817819  0.00210737  0.96818048 -0.25043065
 2643.6  1.00000000  0.96817816  0.00224909  0.96818077 -0.25042881
 2643.7  1.00000000  0.96817788  0.00245266  0.96818099 -0.25042751
 2643.8  1.00000000  0.96817735  0.00269416  0.96818110 -0.25042689
 2643.9  1.00000000  0.96817659  0.00294551  0.96818107 -0.25042701
 2644.0  1.00000000  0.96817571  0.00317790  0.96818093 -0.25042783
 2644.1  1.00000000  0.96817486  0.00336630  0.96818071 -0.25042922
 2644.2  1.00000000  0.96817412  0.00349133  0.96818041 -0.25043102
 2644.3  1.00000000  0.96817360  0.00354036  0.96818007 -0.25043304
 2644.4  1.00000000  0.96817338  0.00350997  0.96817974 -0.25043502
 2644.5  1.00000000  0.96817348  0.00340647  0.96817947 -0.25043674
 2644.6  1.00000000  0.96817382  0.00324336  0.96817925 -0.25043804
 2644.7  1.00000000  0.96817435  0.00304006  0.96817913 -0.25043877
 2644.8  1.00000000  0.96817501  0.00282063  0.96817912 -0.25043886
 2644.9  1.00000000  0.96817569  0.00261042  0.96817921 -0.25043832
 2645.0  1.00000000  0.96817633  0.00243216  0.96817938 -0.25043725
 2645.1  1.00000000  0.96817688  0.00230457  0.96817963 -0.25043577
 2645.2  1.00000000  0.96817733  0.00224090  0.96817992 -0.25043404
 2645.3  1.00000000  0.96817760  0.00224640  0.96818021 -0.25043229
 2645.4  1.00000000  0.96817769  0.00231797  0.96818046 -0.25043070
 2645.5  1.00000000  0.96817759  0.00244590  0.96818068 -0.25042944
 2645.6  1.00000000  0.96817728  0.00261469  0.96818081 -0.25042864
 2645.7  1.00000000  0.96817678  0.00280401  0.96818084 -0.25042839
 2645.8  1.00000000  0.96817617  0.00299194  0.96818079 -0.25042869
 2645.9  1.00000000  0.96817552  0.00315801  0.96818067 -0.25042949
 2646.0  1.00000000  0.96817490  0.00328442  0.96818047 -0.25043069
 2646.1  1.00000000  0.96817440  0.00335779  0.96818022 -0.25043215
 2646.2  1.00000000  0.96817410  0.00337155  0.96817997 -0.25043369
 2646.3  1.00000000  0.96817402  0.00332626  0.96817973 -0.25043514
 2646.4  1.00000000  0.96817415  0.00322842  0.96817953 -0.25043635
 2646.5  1.00000000  0.96817446  0.00309019  0.96817939 -0.25043717
 2646.6  1.00000000  0.96817491  0.00292854  0.96817934 -0.25043754
 2646.7  1.00000000  0.96817542  0.00276226  0.96817936 -0.25043742
 2646.8  1.00000000  0.96817593  0.00260964  0.96817945 -0.25043685
 2646.9  1.00000000  0.96817641  0.00248736  0.96817961 -0.25043589
 2647.0  1.00000000  0.96817682  0.00240848  0.96817981 -0.25043467
 2647.1  1.00000000  0.96817710  0.00238032  0.96818003 -0.25043334
 2647.2  1.00000000  0.96817726  0.00240433  0.96818024 -0.25043204
 2647.3  1.00000000  0.96817727  0.00247661  0.96818043 -0.25043090
 2647.4  1.00000000  0.96817711  0.00258782  0.96818057 -0.25043007
 2647.5  1.00000000  0.96817681  0.00272412  0.96818064 -0.25042963
 2647.6  1.00000000  0.96817639  0.00286964  0.96818064 -0.25042960
 2647.7  1.00000000  0.96817591  0.00300815  0.96818059 -0.25042998
 2647.8  1.00000000  0.96817542  0.00312430  0.96818046 -0.25043072
 2647.9  1.00000000  0.96817498  0.00320557  0.96818029 -0.25043173
 2648.0  1.00000000  0.96817467  0.00324412  0.96818011 -0.25043287
 2648.1  1.00000000  0.96817450  0.00323703  0.96817992 -0.25043403
 2648.2  1.00000000  0.96817450  0.00318614  0.96817974 -0.25043508
 2648.3  1.00000000  0.96817465  0.00309836  0.96817961 -0.25043589
 2648.4  1.00000000  0.96817493  0.00298480  0.96817953 -0.25043639
 2648.5  1.00000000  0.96817528  0.00285877  0.96817950 -0.25043653
 2648.6  1.00000000  0.96817568  0.00273449  0.96817954 -0.25043630
 2648.7  1.00000000  0.96817607  0.00262594  0.96817964 -0.25043574
 2648.8  1.00000000  0.96817643  0.00254489  0.96817977 -0.25043493
 2648.9  1.00000000  0.96817670  0.00249933  0.96817993 -0.25043395
 2649.0  1.00000000  0.96817689  0.00249330  0.96818010 -0.25043293
 2649.1  1.00000000  0.96817696  0.00252653  0.96818026 -0.25043198
 2649.2  1.00000000  0.96817691  0.00259411  0.96818038 -0.25043120
 2649.3  1.00000000  0.96817674  0.00268734  0.96818047 -0.25043068
 2649.4  1.00000000  0.96817647  0.00279524  0.96818051 -0.25043045
 2649.5  1.00000000  0.96817613  0.00290549  0.96818049 -0.25043056
 2649.6  1.00000000  0.96817575  0.00300553  0.96818042 -0.25043096
 2649.7  1.00000000  0.96817540  0.00308448  0.96818031 -0.25043161
 2649.8  1.00000000  0.96817511  0.00313433  0.96818018 -0.25043243
 2649.9  1.00000000  0.96817491  0.00315031  0.96818003 -0.25043332
 2650.0  1.00000000  0.96817482  0.00313147  0.96817989 -0.25043418
 2650.1  1.00000000  0.96817487  0.00308103  0.96817977 -0.25043492
 2650.2  1.00000000  0.96817502  0.00300560  0.96817968 -0.25043545
 2650.3  1.00000000  0.96817525  0.00291427  0.96817963 -0.25043572
 2650.4  1.00000000  0.96817554  0.00281759  0.96817964 -0.25043572
 2650.5  1.00000000  0.96817584  0.00272662  0.96817968 -0.25043544
 2650.6  1.00000000  0.96817614  0.00265129  0.96817977 -0.25043494
 2650.7  1.00000000  0.96817639  0.00259940  0.96817988 -0.25043426
 2650.8  1.00000000  0.96817658  0.00257612  0.96818001 -0.25043349
 2650.9  1.00000000  0.96817669  0.00258330  0.96818013 -0.25043273
 2651.0  1.00000000  0.96817670  0.00261920  0.96818024 -0.25043204
 2651.1  1.00000000  0.96817662  0.00267891  0.96818033 -0.25043152
 2651.2  1.00000000  0.96817646  0.00275523  0.96818038 -0.25043121
 2651.3  1.00000000  0.96817623  0.00283914  0.96818039 -0.25043113
 2651.4  1.00000000  0.96817596  0.00292097  0.96818036 -0.25043130
 2651.5  1.00000000  0.96817568  0.00299174  0.96818030 -0.25043169
 2651.6  1.00000000  0.96817543  0.00304397  0.96818021 -0.25043224
 2651.7  1.00000000  0.96817523  0.00307237  0.96818010 -0.25043289
 2651.8  1.00000000  0.96817511  0.00307447  0.96817999 -0.25043356
 2651.9  1.00000000  0.96817508  0.00305096  0.96817989 -0.25043419
