 # AA:        55012.996369532404     
 # FLEGG:     89803.391421253225     
 # AF0:     -9.39323546873983839E-002
 # CPAR:      737.30563592368151     
 # Diff:     8.55074003082074152E-002
 # TF:       3.79473319220205556E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.17999999999995567     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 2158.6  0.94444444  0.96749861  0.00846675  0.96753566 -0.25289086
 2158.7  0.94444444  0.96751116  0.00700661  0.96753653 -0.25288753
 2158.8  0.94444444  0.96752683  0.00508933  0.96754022 -0.25287299
 2158.9  0.94444444  0.96754094  0.00328474  0.96754651 -0.25284759
 2159.0  0.94444444  0.96755385  0.00165096  0.96755525 -0.25281226
 2159.1  0.94444444  0.96756614  0.00023979  0.96756617 -0.25276829
 2159.2  0.94444444  0.96757852 -0.00090458  0.96757895 -0.25271719
 2159.3  0.94444444  0.96759145 -0.00174715  0.96759303 -0.25266084
 2159.4  0.94444444  0.96760519 -0.00226422  0.96760784 -0.25260126
 2159.5  0.94444444  0.96761988 -0.00244357  0.96762297 -0.25254038
 2159.6  0.94444444  0.96763525 -0.00228406  0.96763795 -0.25248020
 2159.7  0.94444444  0.96765065 -0.00179551  0.96765231 -0.25242269
 2159.8  0.94444444  0.96766503 -0.00099826  0.96766554 -0.25236975
 2159.9  0.94444444  0.96767715  0.00007693  0.96767715 -0.25232312
 2160.0  0.94444444  0.96768581  0.00139017  0.96768680 -0.25228423
 2160.1  0.94444444  0.96768992  0.00289431  0.96769425 -0.25225424
 2160.2  0.94444444  0.96768865  0.00453680  0.96769929 -0.25223401
 2160.3  0.94444444  0.96768153  0.00626171  0.96770178 -0.25222410
 2160.4  0.94444444  0.96766846  0.00801125  0.96770163 -0.25222475
 2160.5  0.94444444  0.96764993  0.00972724  0.96769882 -0.25223585
 2160.6  0.94444444  0.96762691  0.01135308  0.96769351 -0.25225689
 2160.7  0.94444444  0.96760079  0.01283572  0.96768592 -0.25228703
 2160.8  0.94444444  0.96757326  0.01412772  0.96767640 -0.25232513
 2160.9  0.94444444  0.96754604  0.01518881  0.96766525 -0.25236983
 2161.0  0.94444444  0.96752078  0.01598671  0.96765285 -0.25241960
 2161.1  0.94444444  0.96749895  0.01649786  0.96763961 -0.25247271
 2161.2  0.94444444  0.96748175  0.01670836  0.96762601 -0.25252732
 2161.3  0.94444444  0.96746993  0.01661476  0.96761258 -0.25258153
 2161.4  0.94444444  0.96746374  0.01622425  0.96759977 -0.25263354
 2161.5  0.94444444  0.96746290  0.01555392  0.96758792 -0.25268167
 2161.6  0.94444444  0.96746679  0.01462969  0.96757740 -0.25272439
 2161.7  0.94444444  0.96747457  0.01348542  0.96756855 -0.25276031
 2161.8  0.94444444  0.96748526  0.01216219  0.96756170 -0.25278830
 2161.9  0.94444444  0.96749779  0.01070684  0.96755703 -0.25280754
 2162.0  0.94444444  0.96751114  0.00916988  0.96755459 -0.25281756
 2162.1  0.94444444  0.96752455  0.00760348  0.96755443 -0.25281817
 2162.2  0.94444444  0.96753757  0.00606002  0.96755655 -0.25280945
 2162.3  0.94444444  0.96754999  0.00459066  0.96756088 -0.25279180
 2162.4  0.94444444  0.96756179  0.00324354  0.96756723 -0.25276596
 2162.5  0.94444444  0.96757312  0.00206184  0.96757532 -0.25273293
 2162.6  0.94444444  0.96758426  0.00108239  0.96758486 -0.25269389
 2162.7  0.94444444  0.96759553  0.00033488  0.96759559 -0.25265020
 2162.8  0.94444444  0.96760711 -0.00015890  0.96760713 -0.25260334
 2162.9  0.94444444  0.96761900 -0.00038583  0.96761908 -0.25255493
 2163.0  0.94444444  0.96763096 -0.00034197  0.96763102 -0.25250661
 2163.1  0.94444444  0.96764257 -0.00003257  0.96764257 -0.25245996
 2163.2  0.94444444  0.96765324  0.00052842  0.96765338 -0.25241648
 2163.3  0.94444444  0.96766221  0.00131908  0.96766311 -0.25237757
