 # AA:        257738.55845963204     
 # FLEGG:     194379.19786369632     
 # AF0:     -6.22068574088730716E-002
 # CPAR:      600.01081710162225     
 # Diff:     8.55074003082074152E-002
 # TF:       3.79473319220205556E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.19004008016027468     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
24216.0  1.00000000  0.96811331  0.00041943  0.96811340 -0.25072752
24216.1  1.00000000  0.96811479 -0.00141998  0.96811583 -0.25071696
24216.2  1.00000000  0.96811548 -0.00287310  0.96811975 -0.25069731
24216.3  1.00000000  0.96811760 -0.00374594  0.96812485 -0.25067127
24216.4  1.00000000  0.96812243 -0.00392458  0.96813039 -0.25064263
24216.5  1.00000000  0.96812994 -0.00339222  0.96813588 -0.25061522
24216.6  1.00000000  0.96813789 -0.00222743  0.96814045 -0.25059300
24216.7  1.00000000  0.96814281 -0.00060788  0.96814300 -0.25057943
24216.8  1.00000000  0.96814270  0.00122363  0.96814347 -0.25057610
24216.9  1.00000000  0.96813730  0.00300481  0.96814196 -0.25058321
24217.0  1.00000000  0.96812841  0.00448407  0.96813880 -0.25059953
24217.1  1.00000000  0.96811923  0.00546432  0.96813465 -0.25062247
24217.2  1.00000000  0.96811189  0.00581636  0.96812937 -0.25064931
24217.3  1.00000000  0.96810817  0.00548648  0.96812372 -0.25067617
24217.4  1.00000000  0.96810839  0.00452587  0.96811897 -0.25069885
24217.5  1.00000000  0.96811117  0.00308431  0.96811608 -0.25071391
24217.6  1.00000000  0.96811441  0.00138598  0.96811540 -0.25071937
24217.7  1.00000000  0.96811608 -0.00032632  0.96811614 -0.25071531
24217.8  1.00000000  0.96811677 -0.00182270  0.96811848 -0.25070218
24217.9  1.00000000  0.96811841 -0.00288947  0.96812272 -0.25068144
24218.0  1.00000000  0.96812210 -0.00337198  0.96812797 -0.25065636
24218.1  1.00000000  0.96812787 -0.00320892  0.96813319 -0.25063081
24218.2  1.00000000  0.96813422 -0.00244037  0.96813729 -0.25060871
24218.3  1.00000000  0.96813933 -0.00119279  0.96814007 -0.25059283
24218.4  1.00000000  0.96814150  0.00035452  0.96814157 -0.25058497
24218.5  1.00000000  0.96813937  0.00198332  0.96814140 -0.25058629
24218.6  1.00000000  0.96813338  0.00346431  0.96813958 -0.25059651
24218.7  1.00000000  0.96812522  0.00459001  0.96813610 -0.25061432
24218.8  1.00000000  0.96811749  0.00519889  0.96813145 -0.25063711
24218.9  1.00000000  0.96811264  0.00521043  0.96812667 -0.25066127
24219.0  1.00000000  0.96811130  0.00463560  0.96812240 -0.25068336
24219.1  1.00000000  0.96811254  0.00356593  0.96811911 -0.25070039
24219.2  1.00000000  0.96811469  0.00215810  0.96811710 -0.25071014
24219.3  1.00000000  0.96811650  0.00061107  0.96811669 -0.25071126
24219.4  1.00000000  0.96811801 -0.00085022  0.96811838 -0.25070336
24219.5  1.00000000  0.96811952 -0.00201247  0.96812161 -0.25068792
24219.6  1.00000000  0.96812186 -0.00271730  0.96812568 -0.25066743
24219.7  1.00000000  0.96812578 -0.00287480  0.96813004 -0.25064484
24219.8  1.00000000  0.96813105 -0.00247250  0.96813420 -0.25062328
24219.9  1.00000000  0.96813649 -0.00157203  0.96813776 -0.25060561
24220.0  1.00000000  0.96813994 -0.00030546  0.96813999 -0.25059451
24220.1  1.00000000  0.96813982  0.00113903  0.96814049 -0.25059153
24220.2  1.00000000  0.96813598  0.00255145  0.96813935 -0.25059688
24220.3  1.00000000  0.96812963  0.00373160  0.96813682 -0.25060960
24220.4  1.00000000  0.96812290  0.00451894  0.96813344 -0.25062768
24220.5  1.00000000  0.96811752  0.00481240  0.96812948 -0.25064865
24220.6  1.00000000  0.96811438  0.00457309  0.96812518 -0.25066978
24220.7  1.00000000  0.96811375  0.00383481  0.96812134 -0.25068789
24220.8  1.00000000  0.96811502  0.00270901  0.96811881 -0.25070019
24220.9  1.00000000  0.96811710  0.00136783  0.96811807 -0.25070490
24221.0  1.00000000  0.96811882  0.00000965  0.96811882 -0.25070178
24221.1  1.00000000  0.96811998 -0.00117883  0.96812070 -0.25069157
24221.2  1.00000000  0.96812169 -0.00203479  0.96812383 -0.25067550
24221.3  1.00000000  0.96812482 -0.00243609  0.96812789 -0.25065582
24221.4  1.00000000  0.96812930 -0.00232777  0.96813210 -0.25063552
24221.5  1.00000000  0.96813405 -0.00173428  0.96813561 -0.25061773
24221.6  1.00000000  0.96813759 -0.00075371  0.96813788 -0.25060496
24221.7  1.00000000  0.96813881  0.00046630  0.96813893 -0.25059868
24221.8  1.00000000  0.96813717  0.00175281  0.96813876 -0.25059957
24221.9  1.00000000  0.96813293  0.00292661  0.96813735 -0.25060745
24222.0  1.00000000  0.96812721  0.00382550  0.96813477 -0.25062124
24222.1  1.00000000  0.96812151  0.00432288  0.96813116 -0.25063911
24222.2  1.00000000  0.96811746  0.00434859  0.96812722 -0.25065831
