 # AA:        55012.996369532404     
 # FLEGG:     89803.391421253225     
 # AF0:     -6.22068574088730716E-002
 # CPAR:      600.01081710162225     
 # Diff:     8.55074003082074152E-002
 # TF:       2.01973268362782224E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.17995999777933305     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
20813.8  0.94444444  0.96750202  0.00723781  0.96752910 -0.25288268
20813.9  0.94444444  0.96751880  0.00535695  0.96753363 -0.25286479
20814.0  0.94444444  0.96753395  0.00360603  0.96754067 -0.25283659
20814.1  0.94444444  0.96754785  0.00203928  0.96755000 -0.25279923
20814.2  0.94444444  0.96756104  0.00070357  0.96756130 -0.25275416
20814.3  0.94444444  0.96757411 -0.00036269  0.96757418 -0.25270303
20814.4  0.94444444  0.96758749 -0.00113069  0.96758815 -0.25264770
20814.5  0.94444444  0.96760136 -0.00158274  0.96760266 -0.25259014
20814.6  0.94444444  0.96761575 -0.00171238  0.96761726 -0.25253226
20814.7  0.94444444  0.96763032 -0.00152393  0.96763152 -0.25247592
20814.8  0.94444444  0.96764445 -0.00103189  0.96764500 -0.25242290
20814.9  0.94444444  0.96765724 -0.00026009  0.96765728 -0.25237484
20815.0  0.94444444  0.96766765  0.00075909  0.96766795 -0.25233322
20815.1  0.94444444  0.96767465  0.00198584  0.96767669 -0.25229926
20815.2  0.94444444  0.96767739  0.00337452  0.96768328 -0.25227387
20815.3  0.94444444  0.96767527  0.00487560  0.96768756 -0.25225768
20815.4  0.94444444  0.96766804  0.00643755  0.96768946 -0.25225101
20815.5  0.94444444  0.96765581  0.00800860  0.96768895 -0.25225388
20815.6  0.94444444  0.96763908  0.00953805  0.96768608 -0.25226603
20815.7  0.94444444  0.96761871  0.01097737  0.96768097 -0.25228689
20815.8  0.94444444  0.96759589  0.01228138  0.96767383 -0.25231559
20815.9  0.94444444  0.96757203  0.01340977  0.96766495 -0.25235102
20816.0  0.94444444  0.96754860  0.01432863  0.96765470 -0.25239183
20816.1  0.94444444  0.96752700  0.01501183  0.96764345 -0.25243653
20816.2  0.94444444  0.96750837  0.01544166  0.96763159 -0.25248356
20816.3  0.94444444  0.96749360  0.01560911  0.96761950 -0.25253132
20816.4  0.94444444  0.96748321  0.01551391  0.96760759 -0.25257818
20816.5  0.94444444  0.96747742  0.01516455  0.96759626 -0.25262258
20816.6  0.94444444  0.96747609  0.01457821  0.96758592 -0.25266306
20816.7  0.94444444  0.96747874  0.01378001  0.96757688 -0.25269835
20816.8  0.94444444  0.96748467  0.01280172  0.96756936 -0.25272744
20816.9  0.94444444  0.96749307  0.01168018  0.96756357 -0.25274951
20817.0  0.94444444  0.96750315  0.01045602  0.96755965 -0.25276400
20817.1  0.94444444  0.96751424  0.00917241  0.96755772 -0.25277058
20817.2  0.94444444  0.96752576  0.00787371  0.96755780 -0.25276923
20817.3  0.94444444  0.96753728  0.00660373  0.96755982 -0.25276021
20817.4  0.94444444  0.96754855  0.00540409  0.96756365 -0.25274403
20817.5  0.94444444  0.96755952  0.00431288  0.96756913 -0.25272138
20817.6  0.94444444  0.96757024  0.00336371  0.96757609 -0.25269316
20817.7  0.94444444  0.96758082  0.00258478  0.96758427 -0.25266044
20817.8  0.94444444  0.96759130  0.00199807  0.96759336 -0.25262439
20817.9  0.94444444  0.96760169  0.00161856  0.96760304 -0.25258632
20818.0  0.94444444  0.96761189  0.00145384  0.96761298 -0.25254751
20818.1  0.94444444  0.96762168  0.00150421  0.96762285 -0.25250925
20818.2  0.94444444  0.96763073  0.00176286  0.96763234 -0.25247279
20818.3  0.94444444  0.96763859  0.00221636  0.96764113 -0.25243929
20818.4  0.94444444  0.96764475  0.00284513  0.96764894 -0.25240979
20818.5  0.94444444  0.96764872  0.00362420  0.96765551 -0.25238519
20818.6  0.94444444  0.96765007  0.00452414  0.96766065 -0.25236620
20818.7  0.94444444  0.96764852  0.00551223  0.96766422 -0.25235332
20818.8  0.94444444  0.96764394  0.00655370  0.96766613 -0.25234684
20818.9  0.94444444  0.96763641  0.00761288  0.96766636 -0.25234684
20819.0  0.94444444  0.96762622  0.00865438  0.96766492 -0.25235321
20819.1  0.94444444  0.96761382  0.00964409  0.96766188 -0.25236559
20819.2  0.94444444  0.96759988  0.01055022  0.96765739 -0.25238344
20819.3  0.94444444  0.96758513  0.01134438  0.96765163 -0.25240605
20819.4  0.94444444  0.96757038  0.01200248  0.96764482 -0.25243255
20819.5  0.94444444  0.96755642  0.01250553  0.96763723 -0.25246195
20819.6  0.94444444  0.96754393  0.01284012  0.96762912 -0.25249321
20819.7  0.94444444  0.96753347  0.01299877  0.96762078 -0.25252524
20819.8  0.94444444  0.96752544  0.01297998  0.96761250 -0.25255693
20819.9  0.94444444  0.96752006  0.01278830  0.96760457 -0.25258721
20820.0  0.94444444  0.96751736  0.01243409  0.96759726 -0.25261510
20820.1  0.94444444  0.96751721  0.01193306  0.96759080 -0.25263970
20820.2  0.94444444  0.96751933  0.01130552  0.96758538 -0.25266028
20820.3  0.94444444  0.96752337  0.01057553  0.96758116 -0.25267625
20820.4  0.94444444  0.96752893  0.00977001  0.96757826 -0.25268718
20820.5  0.94444444  0.96753563  0.00891778  0.96757673 -0.25269283
20820.6  0.94444444  0.96754313  0.00804862  0.96757660 -0.25269313
20820.7  0.94444444  0.96755110  0.00719212  0.96757783 -0.25268822
20820.8  0.94444444  0.96755933  0.00637672  0.96758034 -0.25267841
20820.9  0.94444444  0.96756765  0.00562869  0.96758402 -0.25266413
20821.0  0.94444444  0.96757594  0.00497142  0.96758871 -0.25264598
20821.1  0.94444444  0.96758412  0.00442471  0.96759423 -0.25262465
20821.2  0.94444444  0.96759210  0.00400417  0.96760038 -0.25260094
20821.3  0.94444444  0.96759978  0.00372079  0.96760693 -0.25257570
20821.4  0.94444444  0.96760703  0.00358064  0.96761365 -0.25254981
20821.5  0.94444444  0.96761368  0.00358481  0.96762032 -0.25252415
20821.6  0.94444444  0.96761952  0.00372959  0.96762671 -0.25249955
20821.7  0.94444444  0.96762432  0.00400662  0.96763262 -0.25247681
