 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 3529.5  1.11111111  0.96729630  0.00387630  0.96730407 -0.25385004
 3529.6  1.11111111  0.96730772  0.00200476  0.96730980 -0.25382737
 3529.7  1.11111111  0.96731886  0.00030014  0.96731890 -0.25379090
 3529.8  1.11111111  0.96733033 -0.00116504  0.96733104 -0.25374243
 3529.9  1.11111111  0.96734282 -0.00232983  0.96734562 -0.25368432
 3530.0  1.11111111  0.96735681 -0.00314769  0.96736193 -0.25361936
 3530.1  1.11111111  0.96737249 -0.00358878  0.96737915 -0.25355061
 3530.2  1.11111111  0.96738973 -0.00364063  0.96739658 -0.25348114
 3530.3  1.11111111  0.96740783 -0.00330761  0.96741349 -0.25341395
 3530.4  1.11111111  0.96742556 -0.00261079  0.96742909 -0.25335204
 3530.5  1.11111111  0.96744138 -0.00158768  0.96744268 -0.25329811
 3530.6  1.11111111  0.96745368 -0.00028960  0.96745373 -0.25325439
 3530.7  1.11111111  0.96746104  0.00122092  0.96746181 -0.25322263
 3530.8  1.11111111  0.96746235  0.00287307  0.96746662 -0.25320407
 3530.9  1.11111111  0.96745703  0.00459070  0.96746792 -0.25319936
 3531.0  1.11111111  0.96744525  0.00629574  0.96746574 -0.25320847
 3531.1  1.11111111  0.96742790  0.00791205  0.96746025 -0.25323076
 3531.2  1.11111111  0.96740638  0.00936889  0.96745175 -0.25326502
 3531.3  1.11111111  0.96738251  0.01060370  0.96744063 -0.25330953
 3531.4  1.11111111  0.96735829  0.01156478  0.96742741 -0.25336214
 3531.5  1.11111111  0.96733566  0.01221356  0.96741276 -0.25342032
 3531.6  1.11111111  0.96731626  0.01252635  0.96739736 -0.25348135
 3531.7  1.11111111  0.96730120  0.01249506  0.96738190 -0.25354244
 3531.8  1.11111111  0.96729101  0.01212706  0.96736703 -0.25360087
 3531.9  1.11111111  0.96728575  0.01144469  0.96735346 -0.25365401
 3532.0  1.11111111  0.96728497  0.01048428  0.96734179 -0.25369957
 3532.1  1.11111111  0.96728784  0.00929400  0.96733249 -0.25373564
 3532.2  1.11111111  0.96729341  0.00793135  0.96732592 -0.25376080
 3532.3  1.11111111  0.96730080  0.00646040  0.96732237 -0.25377410
 3532.4  1.11111111  0.96730932  0.00494917  0.96732198 -0.25377514
 3532.5  1.11111111  0.96731845  0.00346614  0.96732466 -0.25376415
 3532.6  1.11111111  0.96732801  0.00207708  0.96733024 -0.25374184
 3532.7  1.11111111  0.96733809  0.00084241  0.96733845 -0.25370940
 3532.8  1.11111111  0.96734886 -0.00018537  0.96734888 -0.25366846
 3532.9  1.11111111  0.96736051 -0.00096401  0.96736099 -0.25362104
 3533.0  1.11111111  0.96737308 -0.00146326  0.96737419 -0.25356935
 3533.1  1.11111111  0.96738646 -0.00166584  0.96738790 -0.25351577
 3533.2  1.11111111  0.96740021 -0.00156789  0.96740148 -0.25346273
 3533.3  1.11111111  0.96741360 -0.00117909  0.96741432 -0.25341258
 3533.4  1.11111111  0.96742570 -0.00052202  0.96742584 -0.25336753
 3533.5  1.11111111  0.96743549  0.00036919  0.96743556 -0.25332948
 3533.6  1.11111111  0.96744201  0.00145059  0.96744310 -0.25330001
 3533.7  1.11111111  0.96744446  0.00267047  0.96744814 -0.25328031
 3533.8  1.11111111  0.96744234  0.00397171  0.96745049 -0.25327109
 3533.9  1.11111111  0.96743562  0.00529449  0.96745011 -0.25327259
 3534.0  1.11111111  0.96742469  0.00657909  0.96744706 -0.25328455
 3534.1  1.11111111  0.96741033  0.00776857  0.96744152 -0.25330626
 3534.2  1.11111111  0.96739364  0.00881117  0.96743377 -0.25333660
 3534.3  1.11111111  0.96737594  0.00966258  0.96742419 -0.25337403
 3534.4  1.11111111  0.96735856  0.01028795  0.96741326 -0.25341674
 3534.5  1.11111111  0.96734273  0.01066325  0.96740150 -0.25346271
 3534.6  1.11111111  0.96732941  0.01077621  0.96738943 -0.25350983
 3534.7  1.11111111  0.96731925  0.01062642  0.96737761 -0.25355594
 3534.8  1.11111111  0.96731256  0.01022555  0.96736660 -0.25359897
 3534.9  1.11111111  0.96730928  0.00959628  0.96735688 -0.25363705
 3535.0  1.11111111  0.96730909  0.00877109  0.96734885 -0.25366857
 3535.1  1.11111111  0.96731149  0.00779049  0.96734286 -0.25369223
 3535.2  1.11111111  0.96731592  0.00670131  0.96733913 -0.25370712
 3535.3  1.11111111  0.96732185  0.00555455  0.96733780 -0.25371273
 3535.4  1.11111111  0.96732885  0.00440267  0.96733887 -0.25370901
 3535.5  1.11111111  0.96733661  0.00329731  0.96734223 -0.25369629
 3535.6  1.11111111  0.96734500  0.00228705  0.96734770 -0.25367532
