# legget freq measured by cw nmr with 90-deg peak
# 040504 3578kHz!!
# Tca=0.805
#    T/Tca   l**2
     0.673   117686
  0.698375   112500
     0.716   110524
  0.724125   105752
  0.744375   103884
  0.745625   102638
     0.755   101929
  0.765625  95980.5
     0.783  94282.7
  0.790875  92612.7
    0.7955  90338.3
   0.80475  90201.8
   0.80975  85560.1
    0.8335  81310.9
  0.851125  78134.6
  0.856625  76362.6
   0.86525  73251.8
   0.86625  72764.3
    0.8785  72877.2
   0.88875  63481.1
   0.89825  64060.7
    0.9035  58964.7
  0.910375  58498.6
      0.92  53410.2
